An;mois;a061;a062;a007;a040;a043;a048;a100;a101;a102;a111;a112;a113;a081;a001;a004;a013;a711;a712
1989;9;25989;39099;40236;7715;25072;11774;52838;21665;14811;20550;8429;0;11268;36873;12838;20811;7889;6204
1989;10;20605;27855;28874;6795;23713;11542;48025;17581;10327;18594;7557;0;9942;34214;12123;18665;7536;6001
1989;11;17928;23156;23874;6167;21618;11051;44454;15918;8974;17448;7203;0;9318;31052;11267;17802;7016;5701
1989;12;21729;27534;26545;8077;22262;11287;46372;17771;10776;18335;7385;0;10048;30918;11075;16995;8386;6052
1990;1;17487;22955;21421;7271;22887;11200;37480;13607;8040;13699;5823;0;7274;28152;9456;15130;6539;4331
1990;2;24735;29936;25147;11526;29229;14645;41660;14777;9173;16151;6764;0;8798;26396;10358;17971;7965;6032
1990;3;25436;30453;24264;10770;30137;14748;42883;15113;8618;16004;6750;0;8431;32896;10432;18325;7717;5223
1990;4;31254;41816;41525;11001;27674;13333;59070;23779;15134;25544;10428;0;14943;34938;13358;23004;12096;8343
1990;5;23041;31313;35118;7849;23513;11469;53768;20169;12183;22412;9473;0;12447;38696;12663;24268;9965;6798
1990;6;26363;40633;42142;9052;25823;13017;59777;23974;15439;24540;10389;0;13453;40015;14453;24063;11046;7852
1990;7;37483;62404;62099;14325;29931;14554;74088;35677;28171;31039;13483;14506;18866;47173;15463;28531;14885;12059
1990;8;41438;62244;65203;16198;27695;12704;71139;36664;30985;30426;13203;14365;19810;39926;14376;28039;15565;13322
1990;9;27084;40340;41830;9832;25181;12467;57595;24098;16344;22582;9585;10404;12582;36873;13665;22758;11016;7737
1990;10;20075;27620;28462;7819;24031;12543;49002;17699;10221;18735;8028;8951;9966;34214;12782;20443;9373;6142
1990;11;18317;24251;24957;7128;21922;11611;45622;16465;9351;18178;7823;8638;10060;31052;11766;18787;9011;5762
1990;12;22141;27875;26415;8937;22862;11534;47349;18018;11129;18983;7856;8313;10295;30918;11581;18302;9010;5993
1991;1;18664;24662;22481;8554;24582;13178;38952;13937;8393;14606;6365;7325;7710;28152;10292;16249;7081;4814
1991;2;24774;29636;22801;12230;27560;15088;38518;13513;8456;15134;6529;7639;8394;26396;10162;16524;7887;6175
1991;3;28238;35916;29504;14031;32044;16950;46957;16950;10361;18535;7939;9044;10079;32896;12222;21092;9507;7036
1991;4;25195;34601;34225;9663;25983;13686;54775;20555;12676;22965;9734;10805;12960;34938;13102;22785;10928;7430
1991;5;28834;40214;44090;10239;24679;13094;61610;24384;15444;27063;11475;12289;15826;38696;14653;25528;13062;9165
1991;6;25085;39538;40767;9831;26224;14148;59400;22903;14721;23469;10109;11248;12589;40015;14854;24136;11253;7949
1991;7;36141;62463;61298;15809;30496;16002;76278;36242;27712;31569;14343;15361;18972;47173;16075;28967;16745;13260
1991;8;43858;68648;71567;19106;29801;14741;79470;41698;35126;34257;15474;16438;22312;44640;15664;30829;18919;16753
1991;9;27970;42230;43894;11182;26674;14094;61441;25584;17511;24735;10867;11766;13940;39239;14788;25021;12568;9312
1991;10;21027;29821;29799;8726;24686;13224;51773;18904;10944;20042;8737;9739;10715;35661;13553;21517;10518;6828
1991;11;19992;25080;26534;7758;22868;12521;50513;18131;10303;20764;9134;9745;11424;33586;12961;20885;10563;6439
1991;12;23435;31312;28489;9795;25934;14324;50478;19200;11820;20064;8586;9165;10892;33450;12440;19582;10070;6360
1992;1;19713;26826;23203;9254;26316;15144;40621;14677;8884;15438;6874;7982;8250;29234;10649;17165;7682;5356
1992;2;23657;30712;24966;12796;31512;18289;42430;14726;9648;16597;7397;8620;9114;30645;11208;18869;8925;7129
1992;3;29993;36185;27008;13362;32550;18471;48339;17480;10261;19313;8418;9548;10430;32753;12042;20936;10190;7268
1992;4;27352;41172;40362;10935;28848;16721;59221;22735;14544;25240;11060;12182;14373;38845;14907;25036;12732;9197
1992;5;28254;39039;40985;9753;25201;15063;62605;24770;15511;27524;11985;12942;15931;38466;14566;27746;13679;9457
1992;6;24693;39086;40247;9915;26558;16479;60614;23889;15121;25314;11370;12605;14084;38368;15715;26154;12662;8934
1992;7;29512;50877;49724;13766;27667;17798;72556;35232;26951;28438;13763;15571;18670;36781;16991;28041;18266;15065
1992;8;43424;72198;72425;18883;31413;19436;83653;43935;37454;36773;16776;18084;24159;44078;17603;30911;21291;18787
1992;9;26982;43410;43086;10532;27198;16956;62169;26021;17880;24530;10940;12114;13841;39208;15619;24561;13226;9913
1992;10;21966;32029;31670;8737;25184;15617;56219;20895;12125;22290;9783;10820;11988;38035;14926;23214;11930;8008
1992;11;18013;25892;25571;7321;23544;14300;48563;17379;9828;19218;8623;9733;10176;33024;12762;20560;9902;6492
1992;12;25331;34849;30551;10761;27624;16389;54768;21109;12867;22653;9773;10447;12543;35149;13857;21219;11612;7950
1993;1;21324;30411;25220;10263;28516;16098;42879;15949;9745;16660;7492;8655;9111;29155;11306;18358;8737;6169
1993;2;29821;37924;26773;14319;33360;18771;47677;17661;10671;19120;8598;9805;10503;30677;12214;20587;10695;8014
1993;3;24111;33582;27137;12164;32497;17990;47047;16383;10059;18741;8422;9937;10373;31300;12233;21279;9703;7481
1993;4;30771;45542;43147;11490;29686;17570;65378;26834;16487;29008;12963;14013;16793;39088;15835;26717;15089;10655
1993;5;26898;39886;42889;10113;27096;16864;62738;24856;15619;28031;12778;13842;16007;39418;15688;28481;14274;10363
1993;6;24326;39524;39830;9698;28059;17637;60864;23418;14517;24805;11435;12796;13471;39119;15509;26142;12456;8975
1993;7;37122;70101;66531;16176;33573;22027;82811;40381;30984;35575;16499;17769;21670;46997;18046;31118;20470;16888
1993;8;42835;74588;74559;18281;33109;21205;83454;43887;37097;35999;16829;18553;23159;42644;17402;31042;22375;20235
1993;9;26387;43959;43979;10601;27638;18093;60927;25655;17425;24426;11360;13074;13866;38354;15228;24227;13577;10362
1993;10;23019;33314;33113;9078;26026;16994;58126;21753;12537;23634;10570;11940;12860;37080;15038;24331;12837;8785
1993;11;18838;26604;26378;7567;23933;15180;49653;18148;10010;20470;9309;10700;11297;31610;12962;20421;10745;7132
1993;12;23494;32889;29959;10207;28183;17119;52499;20078;12093;21607;9540;10604;11983;32971;13430;20661;11315;7856
1994;1;20893;30499;25063;10503;29777;17527;43245;15751;9509;16852;7752;9205;9122;30381;11497;18388;8835;6419
1994;2;30720;39347;27566;14867;35998;20752;48569;18008;10813;19668;8926;10438;10832;31973;12517;20775;11271;8773
1994;3;24508;35881;29909;12623;35728;20230;47620;16909;10607;19102;8766;10576;10717;32264;12790;20847;10345;8208
1994;4;30931;45176;42906;11652;31272;18874;66141;26815;16382;29442;13245;14575;17027;38661;15459;25656;15598;11159
1994;5;26043;40334;44010;10112;27318;17274;63327;24756;15312;27591;12703;14231;15727;39208;15774;27440;14585;10701
1994;6;23994;40635;41052;9789;28521;18200;60982;23568;14700;24503;11485;13392;13385;39050;15383;27439;13050;9569
1994;7;38537;73912;70949;16942;35748;23114;87635;43050;33411;37276;17750;19494;22729;48240;18581;33714;23093;19421
1994;8;40285;71943;72441;17991;33538;21409;82001;42970;36387;35709;16794;18591;23422;41511;17027;29479;22961;20870
1994;9;26528;44339;44447;10806;28992;18803;63472;26205;17792;25230;11582;13190;14492;39165;15653;24073;14389;10822
1994;10;22095;33164;33277;9271;27379;17411;57763;21548;12514;23257;10474;12035;12968;38478;14175;25989;12873;8790
1994;11;20480;29511;29176;8258;25973;16479;55443;20483;11693;23117;10372;11852;13200;34233;13933;21959;12431;8231
1994;12;23099;34986;21328;10619;29395;17676;56004;21419;13110;23100;10269;11583;12955;34303;14296;21099;12524;8551
1995;1;19341;30172;25375;10216;30128;17771;44253;16201;9867;17239;8410;9819;9504;29265;11527;18750;9268;6522
1995;2;26292;37681;28523;14589;38447;21896;49550;17806;11298;20422;9540;11156;11755;31205;12400;21639;11895;9218
1995;3;25305;38365;29429;13851;36444;21284;49437;18189;11024;19463;9288;11394;10747;33352;13065;21710;11464;8756
1995;4;28898;47496;43042;12561;33412;19981;68557;27491;17587;30247;13500;15190;17954;38197;15897;27312;16794;12013
1995;5;23809;39642;41595;9985;28034;17624;64014;25276;15591;27338;12809;14893;16071;33088;15184;27862;15374;11030
1995;6;24557;44480;44800;10764;30281;19411;66452;26031;16458;27655;12933;15088;15515;40681;16804;27836;15215;11160
1995;7;36207;72546;69251;17097;36718;23527;89629;42692;33377;38542;18363;20549;23943;47702;18383;34006;24185;19946
1995;8;37418;70155;70671;17625;34115;21448;82347;42127;35986;35853;16874;19312;23688;40029;16709;31759;23577;21101
1995;9;24681;43951;43874;10807;30076;19352;63747;26138;17638;25607;11946;13908;14726;38342;15604;25038;14958;11028
1995;10;20593;33334;32676;9365;28306;17841;58585;21828;12489;23537;10728;13025;13255;37002;15068;24260;13548;9051
1995;11;18582;28419;27334;8249;26478;16413;54661;19955;11021;22402;10145;12316;12649;33348;13547;22654;12280;7939
1995;12;26725;39616;33004;11627;30095;18501;60711;24305;14381;26301;11775;13376;15039;36879;14941;22331;14135;9642
1996;1;19568;30962;25323;10332;21244;18355;46749;17149;10161;18491;8649;10652;10337;30053;11789;19318;10153;7053
1996;2;21975;34684;28825;14263;36262;21161;44416;15839;10070;17494;8388;10686;9836;30346;11912;19318;10142;8084
1996;3;29776;42971;30899;16285;40551;23171;54748;20358;12563;22987;10434;12668;13199;33750;13218;23499;13178;9873
1996;4;27985;46449;42833;12697;34117;20488;67855;26805;16983;30101;13407;16195;18007;39130;15988;28942;16855;12158
1996;5;23478;39141;40943;10387;28440;18101;63904;25086;15546;27910;12877;14928;16320;37627;15283;25979;15270;10781
1996;6;23740;43356;44187;10777;31626;20003;66648;25855;16632;27262;12834;15517;15334;39894;16052;27233;15591;11112
1996;7;32622;67031;64291;15750;35940;22919;84005;38818;30054;36023;16887;19680;22618;45471;17283;31884;22048;17958
1996;8;36668;73222;74163;17934;34995;22267;87677;44840;38283;38475;18227;20946;25422;41713;17644;30887;25567;22486
1996;9;23599;42690;43275;10897;30634;19821;63115;25373;16926;25683;11993;14558;14880;37809;15610;25670;14889;10777
